parish,point_name,lat,long
União das freguesias de Gulpilhares e Valadares,União das freguesias de Gulpilhares e Valadares3,41.076463716426474,-8.648315688410259
União das freguesias de Gulpilhares e Valadares,União das freguesias de Gulpilhares e Valadares4,41.09027686572689,-8.647506109750276
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim","União das freguesias de Gondomar (São Cosme), Valbom e Jovim1",41.13793980089868,-8.52477949056557
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim","União das freguesias de Gondomar (São Cosme), Valbom e Jovim2",41.111701025761285,-8.519532409994559
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim","União das freguesias de Gondomar (São Cosme), Valbom e Jovim3",41.12706728244275,-8.549796313612628
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim","União das freguesias de Gondomar (São Cosme), Valbom e Jovim4",41.14393168051654,-8.552146391599694
União das freguesias de Fânzeres e São Pedro da Cova,União das freguesias de Fânzeres e São Pedro da Cova1,41.15531633786889,-8.527515065177232
União das freguesias de Fânzeres e São Pedro da Cova,União das freguesias de Fânzeres e São Pedro da Cova2,41.17527387605916,-8.525119775724413
União das freguesias de Fânzeres e São Pedro da Cova,União das freguesias de Fânzeres e São Pedro da Cova3,41.1604754882155,-8.504668724974895
União das freguesias de Fânzeres e São Pedro da Cova,União das freguesias de Fânzeres e São Pedro da Cova4,41.13581681092752,-8.492332396085548
São Félix Da Marinha,São Félix Da Marinha1,41.02292420397508,-8.63751211506169
São Félix Da Marinha,São Félix Da Marinha2,41.03520066709543,-8.638634512581756
São Félix Da Marinha,São Félix Da Marinha3,41.036490457435185,-8.620668625350573
São Félix Da Marinha,São Félix Da Marinha4,41.02577400028638,-8.619608865603496
Moreira,Moreira1,41.240731287684746,-8.643618596645142
Moreira,Moreira2,41.25322605510574,-8.641375803729213
Moreira,Moreira3,41.2327188171404,-8.660597766990549
Moreira,Moreira4,41.24699881656059,-8.657839650451539
